Feature,Importance
Dengue_Cases_lag_1,0.30039884121450516
Dengue_Cases_lag_2,0.20804558496563463
Dengue_Cases_lag_3,0.1628820997923431
Dengue_Cases_lag_4,0.11689912042399998
Longitude,0.03171017524810486
Latitude,0.017852155186065588
tmax,0.01397521526931304
prcp_lag_4,0.013954347756374134
prcp_lag_3,0.013503519669069564
prcp_lag_1,0.0132153556149222
wspd,0.012602423867734167
prcp_lag_2,0.012508759371488544
prcp,0.012203123091666511
tavg_lag_4,0.01212913752899934
tavg_lag_3,0.011867741414886463
tmin,0.011655584471967548
tavg_lag_2,0.011597149464582695
tavg,0.011570109007885155
tavg_lag_1,0.011429556640457274
